Тест;bar x;e;МПИ;;;Метод Зейделя;;
;;;x;d;k;x;d;k
0;[1.0, 2.0, 3.0];;;;;;;
;;1e-2;[1.0012429886023948, 2.0010211365885167, 2.99863657718529];3.6275480056213727e-3;205;[1.008295446337911, 1.9823516599217887, 3.0089222043603243];3.486599077644659e-2;222
;;1e-4;[0.9999298397342302, 2.000155341915587, 2.999919725482189];3.05776699167426e-4;868;[1.0000834582121563, 1.9998224448871715, 3.000089763852854];3.507771778386015e-4;471
;;1e-6;[0.9999992981944918, 2.000001553867319, 2.999999197023443];3.0586493837692075e-6;2743;[1.000000824283907, 1.9999982463580448, 3.00000088656224];3.4644881021783647e-6;721
;;1e-10;[0.9999999999297814, 2.0000000001554765, 2.9999999999196545];3.060406372767943e-10;6493;[1.0000000000834213, 1.9999999998225224, 3.0000000000897256];3.5062441838817904e-10;1219
1;[1.0, 1.0, 1.0];;;;;;;
;;1e-2;[0.9954406221047354, 1.0010964819080483, 1.0008863759997961];6.542235803109087e-3;5;[1.0000751455801504, 0.9999952668366608, 0.9999941322985991];8.574644489045546e-5;3
;;1e-4;[0.9999795286669098, 1.0000069018580686, 1.0000030519477068];3.04251388656418e-5;12;[1.0000013251080926, 1.0000004542593308, 0.9999998517193814];1.9276480419661013e-6;4
;;1e-6;[0.9999997972284912, 1.0000000694372588, 1.0000000297247709];3.0193353850460625e-7;18;[0.9999999617526609, 1.0000000186527958, 1.0000000016328787];5.853301354719065e-8;5
;;1e-10;[0.9999999999569755, 1.0000000000147538, 1.0000000000062974];6.407563368782121e-11;29;[1.000000000001531, 0.9999999999994014, 0.9999999999999224];2.2072343952572737e-12;8
2;[1.6163793103448276, 1.5043103448275863, 1.4267241379310345];;;;;;;
;;1e-2;[1.6142838101484307, 1.5033240086937256, 1.4260791915923423];3.7267826689497685e-3;20;[1.6161375280309607, 1.5042311971028646, 1.4266973937611522];3.476742084709272e-4;3
;;1e-4;[1.6163583820184548, 1.5043004942112133, 1.4267176967425765];3.722013120377454e-5;34;[1.6163660738580021, 1.5043063467619153, 1.4267227017183264];1.8670765204564788e-5;4
;;1e-6;[1.6163791013288054, 1.5043102464472102, 1.4267240736014004];3.717260323998772e-7;48;[1.6163792746215822, 1.5043103338316404, 1.4267241340377685];5.061245733628539e-8;6
;;1e-10;[1.616379310323979, 1.5043103448177733, 1.4267241379246178];3.707834039801128e-11;76;[1.6163793103397466, 1.5043103448260169, 1.4267241379304805];7.204459251397566e-12;9
3;[1.4462540716612378, 1.1661237785016287, 1.1074918566775245];;;;;;;
;;1e-2;[1.4443280118768969, 1.1643917661345877, 1.105402150031983];5.747778796923342e-3;35;[1.4455751786850954, 1.1656038376117412, 1.1070081119139308];1.6825786296235101e-3;11
;;1e-4;[1.4462360153953862, 1.166107541375444, 1.1074722662686232];5.388380093762635e-5;61;[1.4462486928695362, 1.1661196590692, 1.1074880240228784];1.3330878776418587e-5;18
;;1e-6;[1.4462538690853615, 1.1661235963349452, 1.1074916368898737];6.045302105572858e-7;86;[1.446253986600793, 1.166123713356746, 1.107491796067758];2.108150940483e-7;24
;;1e-10;[1.446254071643434, 1.1661237784856184, 1.107491856658208];5.3130611021856566e-11;138;[1.4462540716558983, 1.1661237784975393, 1.1074918566737195];1.3233858453531866e-11;38
4;[-0.022727272727272728, 0.6590909090909091, 0.7954545454545454];;;;;;;
;;1e-2;[-0.02106915886135019, 0.6580224791159504, 0.7950505051223635];3.130584173063132e-3;1106;[-0.023734124672263768, 0.6595699363924175, 0.7958390598156906];1.8703936076446062e-3;179
;;1e-4;[-0.022710662357122713, 0.6590802059554212, 0.7954504979282486];3.136103193470546e-5;2021;[-0.02273708272998176, 0.6590955763647844, 0.7954582918756832];1.8223697722176413e-5;291
;;1e-6;[-0.022727106330734048, 0.6590908018708619, 0.7954545049079239];3.141632073586087e-7;2936;[-0.022727372343531282, 0.65909095648502, 0.7954545834978031];1.8505362717885498e-7;402
;;1e-10;[-0.022727272710651225, 0.6590909090802002, 0.7954545454504938];3.1382028919946237e-11;4767;[-0.022727272737126825, 0.6590909090955971, 0.795454545458309];1.8305669480245257e-11;625
