n;plain;orth
0;8.151354972672088e3;8.151354972672088e3
1;7.906966759876573e3;7.906966759876573e3
2;3.4769329172999846e3;3.4769329172999865e3
3;3.4309223530098434e3;3.430922353009843e3
4;2.1586871819133994e3;2.158687181913398e3
5;2.1586870888498584e3;2.15868708884986e3
6;1.5645156561073477e3;1.5645156561073484e3
7;1.5645089957016896e3;1.5645089957016921e3
8;1.2209286458485644e3;1.2209286458485656e3
9;1.2209277974120128e3;1.2209277974120178e3
10;9.949618988142381e2;9.949618988142387e2
11;9.949576809772954e2;9.949576809772968e2
12;8.356367568902052e2;8.356367568902019e2
13;8.356358039340744e2;8.356358039340727e2
14;7.171251759084981e2;7.171251759085854e2
15;7.171087267736665e2;7.171087267737522e2
16;6.284127851252892e2;6.284127899782618e2
17;6.284107721911356e2;6.284107774621982e2
18;5.575761546130396e2;5.577400929127896e2
19;5.575760329903535e2;5.577414279719945e2
20;4.9935634833696963e2;6.095022829568353e2
21;4.994013511101801e2;6.095094223337055e2
22;4.621524597819505e2;8.05660006327233e2
23;5.124687138787209e2;8.056751289082578e2
24;4.772099905433223e2;1.1520742423926426e3
25;1.1319566900333616e3;1.1520998685803663e3
26;4.9213811320321315e2;1.651536964094829e3
27;4.7343563572440667e2;1.6515759434595448e3
28;4.9282833048137184e2;2.3056180468069037e3
29;5.927345857766252e2;2.305673552220953e3
30;5.771181992933319e2;3.1152833854689816e3
31;5.662983313972944e2;3.1153589105218757e3
32;4.9328423366203475e2;4.0811635694465162e3
33;4.749986660110841e2;4.0812629271922406e3
34;4.5095434757622667e2;5.203688389155664e3
35;4.797875015027234e2;5.203815711408437e3
36;4.613443407555633e2;6.4831606858714085e3
37;4.648968195138794e2;6.483320422727534e3
38;4.728008686441807e2;7.919799677381181e3
39;4.73655062337238e2;7.919996596881583e3
40;4.740538400819194e2;9.513767692097346e3
41;4.717607941850551e2;9.514006879950328e3
42;4.5348291621432503e2;1.12651873374251e4
43;4.5449510429103856e2;1.12654741967057e4
44;4.538101253715568e2;1.3174152890010282e4
45;4.539563254922184e2;1.31744931409355e4
46;4.46095117537818e2;1.5240738060972699e4
47;4.466455228023229e2;1.5241137740631277e4
48;4.526844422226905e2;1.7465001411640584e4
49;4.433488395857147e2;1.746546687377566e4
50;4.5913500592221055e2;1.9846990207022092e4
51;4.6064535082103544e2;1.9847528121787065e4
52;4.3858412645333823e2;2.2386743204031467e4
53;4.36281718183671e2;2.238736055773884e4
54;4.668635563119766e2;2.5084292701621136e4
55;4.798363801809028e2;2.5084996796546347e4
56;4.457895752133279e2;2.7939666065716174e4
57;4.396304721974397e2;2.794046451985777e4
58;5.0684006833557737e2;3.0952886878086232e4
59;1.0298681809655025e3;3.0953787624960358e4
60;1.6099102554775604e3;3.4123975813595964e4
61;5.053395906638182e2;3.4124987101963496e4
62;4.450921560949862e2;3.7452951311114586e4
63;5.0662686859261885e2;3.745408170489479e4
64;4.957715385559003e2;4.093983009579396e4
65;4.9697397196121904e2;4.094108847366655e4
66;5.528334665511912e2;4.458462758808025e4
67;5.0554668582790015e2;4.458602314347795e4
68;4.435663336059589e2;4.838735822342483e4
69;4.588073418386383e2;4.838890046423593e4
70;4.5485961713802214e2;5.234803570608268e4
71;4.4588218724791096e2;5.23497344545219e4
72;4.273238446039275e2;5.6466673214190945e4
73;4.242890732074767e2;5.646853860656636e4
74;4.3314065618484426e2;6.074328355817398e4
75;4.36927089652438e2;6.074532604451372e4
76;4.606794854940146e2;6.5177879314497004e4
77;4.5853011816969087e2;6.518010965877416e4
78;4.773473393461577e2;6.97704729292948e4
79;4.6529238657354693e2;6.977290220888799e4
80;4.718754357795985e2;7.452107680632519e4
81;4.599390326711283e2;7.452371641211167e4
82;4.824786858841444e2;7.942970337405443e4
83;4.837181462070842e2;7.943256500987247e4
84;4.951546832360074e2;8.449636514570065e4
85;5.609728236872752e2;8.44994608285668e4
86;7.075313692478941e2;8.972107476282748e4
87;6.994983466751336e2;8.97244168223624e4
88;6.540134704749187e2;9.510384503599019e4
89;5.611509836977597e2;9.510744611474079e4
90;4.557766988359091e2;1.0064468897618896e5
91;4.5233530969909526e2;1.0064856202893758e5
92;4.4183695466232433e2;1.063436198223986e5
93;4.331893169964235e2;1.0634777811629474e5
94;4.3277211407239315e2;1.1220065105642338e5
95;8.064378233150932e2;1.1220510817088632e5
96;4.39263802290869e2;1.182157964318637e5
97;4.88368662294723e2;1.1822056625788762e5
98;2.0269166147771477e4;1.2438906997819817e5
99;4.360540734504425e2;1.2439416671873465e5
